ChargeType,ChargeLevel,EffectiveDate,InactiveDate,ShortDescription,Statute,LongDescription,ChargeCode
M,A,20200828,99991231,CONCEAL/DSTRY LIFE SUPPRT DECL,459045,CONCEALING OR DESTROYING LIFE SUPPORT DECLARATION OF ANOTHER,459.045-001Y202055
F,B,20200828,99991231,VIO MEDICAL PROCEDURES,459045,FALSIFY LIFE SUPPORT DECLARATION - CONCEALING REVOCATION OF DECLARATION PROCEDURES,459.045-002Y202055
F,E,20200828,99991231,USING A CLOSED JUDICIAL RECORD FOR FINANCIAL GAIN,476055,USING A CLOSED JUDICIAL RECORD FOR FINANCIAL GAIN,476.055-001Y202050
M,B,20200828,99991231,RELS INFO-CLOSD JUDI REC,476055,KNOWINGLY RELEASING INFORMATION FROM CLOSED JUDICIAL RECORD,476.055-002N202050
M,U,20200828,99991231,CRIM CONTEMPT COURT,476110,CONTEMPT OF COURT,476.110-001Y202050
M,U,20200828,99991231,COURT CLERK ACT UNLAWFUL,483165,COURT CLERK FAILED TO PERFORM ACT OR DUTY REQUIRED BY LAW,483.165-001N202050
M,U,20200828,99991231,PRACTICING LAW W/OUT LIC,484020,PRACTICING LAW WITHOUT A LICENSE,484.020-001N202050
M,U,20200828,99991231,MISCONDUCT OF NOTORY,486370,MISCONDUCT OF NOTARY,486.370-001N202050
F,E,20200828,99991231,IMPERSONATE NOTARY - INVOLVING PROPERTY,486375,IMPERSONATE NOTARY - INVOLVING PROPERTY,486.375-001Y202026
M,U,20200828,99991231,IMPERSONATE NOTARY,486375,IMPERSONATE NOTARY,486.375-002N202026
M,U,20200828,99991231,VIOLATE BURN BAN,49266,VIOLATE BURN BAN,49.266-001N202055
F,U,20220828,99991231,WILL/KN MAKE FALSE FIN STATMNT,50815,WILLFULLY/KNOWINGLY MAKE FALSE REPORT OF RECORD CONTAINED IN COUNTY FINANCE STATEMENT,50.815-001Y202226
M,U,20220828,99991231,CERTIFY FALSE FINANCL STATMNT,50815,FALSELY CERTIFYING FACT/S COVERED BY COUNTY FINANCIAL STATEMENT,50.815-002Y202226
M,A,20200828,99991231,INT/KNOW FAIL CMPL W/PROP SEIZ,513607,INTENTIONALLY/KNOWINGLY FAIL TO COMPLY WITH PROPERTY SEIZURE REPORTING REQUIREMENTS,513.607-001Y202050
M,B,20200828,99991231,VIOLATION OF GRAND JURY OATH,540120,VIOLATION OF GRAND JURY OATH,540.120-001N202050
F,E,20200828,99991231,ILLEGAL WIRETAPPING IN VIOLATION OF SECTION 542.402,542402,ILLEGAL WIRETAPPING IN VIOLATION OF SECTION 542.402,542.402-001Y202057
M,A,20200828,99991231,VIOL PROV PROT/HNDL WRTP APPL,542410,VIOLATION OF PROVISIONS FOR PROTECTING/HANDLING WIRETAP RECORDING/APPLICATIONS,542.410-001Y202057
M,A,20200828,99991231,VIOL PROV SEC 544.170-REL PRIS,544170,VIOLATE PROVISIONS OF SECTION 544.170 REGARDING RELEASE OF PRISONER,544.170-001Y202050
F,E,20200828,99991231,FAILURE TO APPEAR - FELONY,544665,FAILURE TO APPEAR - FELONY,544.665-001Y202050
M,A,20200828,99991231,FAIL TO APPEAR - MISDEMEANOR,544665,FAILURE TO APPEAR - MISDEMEANOR,544.665-002Y202050
I,,20200828,99991231,FAILURE TO APPEAR - INFR/ORD,544665,FAILURE TO APPEAR - INFRACTION/MUNICIPAL ORDINANCE,544.665-003N202050
M,U,20200828,99991231,FUGITIVE FROM OUT OF STATE,548131,FUGITIVE FROM OUT OF STATE,548.131-001Y202049
F,U,20200828,99991231,FUGITIVE FROM OUT STATE,548141,FUGITIVE FROM OUT OF STATE,548.141-001Y202049
F,D,20200828,99991231,ASSAULT MOTIVATED BY DISCRIMINATION - 3RD DEGREE,557035,ASSAULT MOTIVATED BY DISCRIMINATION - 3RD DEGREE,557.035-001Y202013
F,E,20200828,99991231,TAMPERING WITH PROPERTY OF ANOTHER- 2ND DEGREE- MOTIVATED BY DISCRIMINATION,557035,TAMPERING WITH PROPERTY OF ANOTHER- 2ND DEGREE- MOTIVATED BY DISCRIMINATION,557.035-002Y202029
F,D,20200828,99991231,PROPERTY DAMAGE MOTIVATED BY DISCRIMINATION - 1ST DEGREE,557035,PROPERTY DAMAGE MOTIVATED BY DISCRIMINATION - 1ST DEGREE,557.035-003Y202029
F,E,20200828,99991231,PROPERTY DAMAGE MOTIVATED BY DISCRIMINATION - 2ND DEGREE,557035,PROPERTY DAMAGE MOTIVATED BY DISCRIMINATION - 2ND DEGREE,557.035-004Y202029
F,D,20200828,99991231,UNLAWFUL USE OF WEAPON MOTIVATED BY DISCRIMINATION,557035,UNLAWFUL USE OF WEAPON MOTIVATED BY DISCRIMINATION,557.035-005Y202052
F,E,20200828,99991231,RIOTING MOTIVATED BY DISCRIMINATION,557035,RIOTING MOTIVATED BY DISCRIMINATION,557.035-006Y202053
F,D,20200828,99991231,HARASS-DISCRIMINATION,557035,HARASSMENT MOTIVATED BY DISCRIMINATION TO FRIGHTEN OR DISTURB ANOTHER PERSON,557.035-007Y202053
F,E,20200828,99991231,TRESPASS MOTIVATED BY DISCRIMINATION - 1ST DEGREE,557035,TRESPASS MOTIVATED BY DISCRIMINATION - 1ST DEGREE,557.035-008Y202057
F,E,20170101,99991231,ASSAULT MOT BY DISCRMNT-4TH DG,557035,ASSAULT MOTIVATED BY DISCRIMINATION - 4TH DEGREE,557.035-009Y201713
F,U,19750101,99991231,PROBATION VIOLATION,559036,PROBATION VIOLATION,559.036-001Y197550
M,U,19750101,99991231,DEFAULT PAYMENT OF FINE,560031,NONPAYMENT OF FINE,560.031-001N197550
I,,20200828,99991231,FAIL DISCLOSE CONTRIBUT,561021,"FAIL TO DISCLOSE THE SUM OF CONTRIBUTION TO A POLITICAL ENTITY IF OVER $3,000",561.021-001N202059
F,C,20200828,99991231,CONSPIRACY TO COMMIT OFFENSE,562014,CONSPIRACY TO COMMITT CLASS A/B/C FELONY OR UNCLASS FELONY EXCEEDING 10 YEARS,562.014-001Y202073
F,A,20200828,99991231,MURDER 1ST DEGREE,565020,MURDER 1ST DEGREE,565.020-001Y202009
F,A,20200828,99991231,MURDER 2ND DEGREE,565021,MURDER 2ND DEGREE,565.021-001Y202009
F,A,20200828,99991231,MURDER 2ND DEGR VEHICULAR-INTOXICATED,565021,MURDER 2ND DEGREE - VEHICULAR - INTOXICATED,565.021-002Y202009
F,A,20200828,99991231,MURDER 2ND DEGREE - FELONY MURDER,565021,"MURDER 2ND DEGREE - FELONY MURDER - DURING PERPETRATION/ATTEMPTED PERPETRATION/FLIGHT FROM PERPETRATION OF A FELONY, A PERSON DIES",565.021-003Y202009
F,B,20200828,99991231,VOLUNTARY MANSLAUGHTER,565023,VOLUNTARY MANSLAUGHTER,565.023-001Y202009
F,C,20200828,99991231,INVOL MANSLATER-1ST DEG,565024,INVOLUNTARY MANSLAUGHTER 1ST DEGREE,565.024-001Y202009
F,B,20200828,99991231,INVOLUNTARY MANSLAUGHTER - 1ST DEGREE - L/E OR RELATIVE,565024,INVOLUNTARY MANSLAUGHTER - 1ST DEGREE - L/E OR RELATIVE,565.024-002Y202009
F,E,20200828,99991231,INVOLUNTARY MANSLAUGHTER-2ND DEGREE,565027,INVOLUNTARY MANSLAUGHTER-2ND DEGREE,565.027-001Y202009
F,D,20200828,99991231,INVOLUNTARY MANSLAUGHTER - 2ND DEGREE - L/E OR RELATIVE,565027,INVOLUNTARY MANSLAUGHTER - 2ND DEGREE - L/E OR RELATIVE,565.027-002Y202009
F,E,20200828,99991231,PATRON PROSTITUTION-PERSIST OF,565030,PATRONIZING PROSTITUTION - PERSISTENT OFFENDER,565.030-005Y202040
F,A,20200828,99991231,ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM,565050,ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM,565.050-001Y202013
F,B,20200828,99991231,ASSAULT 1ST DEGREE OR ATTEMPT,565050,ASSAULT 1ST DEGREE OR ATTEMPT,565.050-002Y202013
F,D,20200828,99991231,ASSAULT - 2ND DEGREE,565052,ASSAULT - 2ND DEGREE,565.052-001Y202013
F,B,20200828,99991231,ASSAULT - 2ND DEGREE - SPECIAL VICTIM,565052,ASSAULT - 2ND DEGREE - SPECIAL VICTIM,565.052-004Y202013
F,D,20200828,99991231,ASSAULT - 3RD DEGREE - SPECIAL VICTIM,565054,ASSAULT - 3RD DEGREE - SPECIAL VICTIM,565.054-001Y202013
F,E,20200828,99991231,ASSAULT - 3RD DEGREE,565054,ASSAULT - 3RD DEGREE,565.054-002Y202013
M,A,20200828,99991231,"ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (1), (5)",565056,"ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (1), (5)",565.056-004Y202013
M,A,20200828,99991231,"ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (2), (4)",565056,"ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (2), (4)",565.056-005Y202013
M,A,20200828,99991231,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (3) SPECIAL VICTIMS,565056,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (3) SPECIAL VICTIMS,565.056-006Y202013
M,A,20200828,99991231,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (6) SPECIAL VICTIMS,565056,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (6) SPECIAL VICTIMS,565.056-007Y202013
M,C,20200828,99991231,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (3),565056,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (3),565.056-008Y202013
M,C,20200828,99991231,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (6),565056,ASSAULT- 4TH DEGREE - PURSUANT TO SUBDIVISION (6),565.056-009Y202013
F,A,20200828,99991231,DOM ASSLT 1ST DEG SER INJ,565072,DOMESTIC ASSAULT 1ST DEGREE - SERIOUS PHYSICAL INJURY,565.072-001Y202013
F,B,20200828,99991231,DOMESTIC ASSLT 1ST DEGREE,565072,DOMESTIC ASSAULT 1ST DEGREE - 1ST OFFENSE,565.072-002Y202013
F,D,20200828,99991231,DOMESTIC ASSAULT - 2ND DEGREE,565073,DOMESTIC ASSAULT - 2ND DEGREE,565.073-003Y202013
F,E,20200828,99991231,DOMESTIC ASSAULT - 3RD DEGREE,565074,DOMESTIC ASSAULT - 3RD DEGREE,565.074-003Y202013
F,E,20200828,99991231,DOMESTIC ASSAULT - 4TH DEGREE - 3RD OR SUBSEQUENT OFFENSE,565076,DOMESTIC ASSAULT - 4TH DEGREE - 3RD OR SUBSEQUENT OFFENSE,565.076-001Y202013
M,A,20200828,99991231,"DOMESTIC ASSAULT - 4TH DEGREE - 1ST OR 2ND OFFENSE (1),(5)",565076,"DOMESTIC ASSAULT - 4TH DEGREE - 1ST OR 2ND OFFENSE (1),(5)",565.076-003Y202013
M,A,20200828,99991231,"DOMESTIC ASSAULT - 4TH DEGREE - 1ST OR 2ND OFFENSE (2), (3), (4), (6)",565076,"DOMESTIC ASSAULT - 4TH DEGREE - 1ST OR 2ND OFFENSE (2), (3), (4), (6)",565.076-004Y202013
F,E,20200828,99991231,HARASSMENT - 1ST DEGREE,565090,HARASSMENT - 1ST DEGREE,565.090-003Y202053
M,A,20200828,99991231,HARASSMENT - 2ND DEGREE,565091,HARASSMENT - 2ND DEGREE,565.091-001Y202053
F,E,20200828,99991231,HARASSMENT - 2ND DEGREE - 2ND OR SUBSEQUENT OFFENSE,565091,HARASSMENT - 2ND DEGREE - 2ND OR SUBSEQUENT OFFENSE,565.091-002Y202053
F,A,20200828,99991231,KIDNAPPING - 1ST DEGREE,565110,KIDNAPPING - 1ST DEGREE,565.110-001Y202010
F,B,20200828,99991231,KIDNAPPING - FACILITATING A FELONY - INFLICTING INJURY - TERRORIZING - 1ST DEGRE,565110,KIDNAPPING - FACILITATING A FELONY - INFLICTING INJURY - TERRORIZING - 1ST DEGREE,565.110-002Y202010
F,A,20200828,99991231,CHILD KIDNAPPING,565115,CHILD KIDNAPPING,565.115-001Y202010
F,D,20200828,99991231,KIDNAPPING - 2ND DEGREE,565120,KIDNAPPING - 2ND DEGREE,565.120-002Y202010
F,E,20200828,99991231,KIDNAPPING - 3RD DEGREE - REMOVED FROM STATE,565130,KIDNAPPING - 3RD DEGREE - REMOVED FROM STATE,565.130-003Y202010
M,A,20200828,99991231,KIDNAPPING - 3RD DEGREE,565130,KIDNAPPING - 3RD DEGREE,565.130-004Y202010
F,E,20200828,99991231,INTERFERENCE WITH CUSTODY - REMOVED FROM STATE OR CONCEALED,565150,INTERFERENCE WITH CUSTODY - REMOVED FROM STATE OR CONCEALED,565.150-001Y202010
M,A,20170101,99991231,INTERFERENCE WITH CUSTODY,565150,INTERFERENCE WITH CUSTODY,565.150-002Y201710
M,A,20200828,99991231,INTERFERENCE WITH CUSTODY,565150,INTERFERENCE WITH CUSTODY,565.150-002Y202010
F,B,20200828,99991231,PARENTAL KIDNAP - CONCEALS CHILD FOR 120 DAYS OR MORE,565153,PARENTAL KIDNAPPING - DETAINS/CONCEALS WHEREABOUTS OF CHILD FOR 120 DAYS OR MORE,565.153-001Y202010
F,D,20200828,99991231,PARENTAL KIDNAPPING BY DETAIN/CONCEAL CHILDS WHEREABOUTS - 60-119 DAYS,565153,PARENTAL KIDNAPPING BY DETAIN/CONCEAL CHILDS WHEREABOUTS - 60-119 DAYS,565.153-002Y202010
F,E,20200828,99991231,PARENTAL KIDNAPPING,565153,PARENTAL KIDNAPPING,565.153-003Y202010
F,E,20200828,99991231,CHILD ABDUCTION,565156,CHILD ABDUCTION,565.156-001Y202010
M,A,20200828,99991231,ELDER ABUSE-3RD DEGREE,565184,ELDER ABUSE 3RD DEGREE,565.184-001Y202038
M,A,20200828,99991231,"ABUSE OF ELDERLY, DISABLED OR VULNERABLE PERSON",565184,"ABUSE OF ELDERLY, DISABLED OR VULNERABLE PERSON",565.184-002Y202038
M,A,20200828,99991231,FAILURE TO REPORT ABUSE/NEGLECT OF ELDERLY,565188,FAILURE TO REPORT ABUSE/NEGLECT OF ELDERLY,565.188-002Y202055
F,E,20200828,99991231,FILING FALSE REPORT OF ELDER ABUSE - 2ND OR SUBSEQUENT OFFENSE,565189,FILING FALSE REPORT OF ELDER ABUSE - 2ND OR SUBSEQUENT OFFENSE,565.189-001Y202055
M,A,20200828,99991231,FILING FALSE REPORT OF ELDER ABUSE - 1ST OFFENSE,565189,FILING FALSE REPORT OF ELDER ABUSE - 1ST OFFENSE,565.189-002Y202055
F,E,20200828,99991231,KNOWINGLY FAIL TO REPORT SUSPECTED ABUSE/NEGLECT OF VULNERABLE PERSON 2ND/SUBS,565218,KNOWINGLY FAIL TO REPORT THE SUSPECTED ABUSE OR NEGLECT OF A VULNERABLE PERSON - 2ND OR SUBSEQUENT OFFENSE,565.218-001Y202055
M,A,20200828,99991231,FAIL RPT ABUSE/NEG VULNBLE PSN,565218,KNOWINGLY FAIL TO REPORT THE SUSPECTED ABUSE OR NEGLECT OF A VULNERABLE PERSON - 1ST OFFENSE,565.218-002Y202055
F,E,20200828,99991231,FILE A FALSE VULNERABLE PERSON ABUSE REPORT  - 2ND/SUBSEQUENT OFF,565222,FILE A FALSE VULNERABLE PERSON ABUSE REPORT  - 2ND/SUBSEQUENT OFFENSE,565.222-001Y202055
M,A,20200828,99991231,FILE A FALSE VULNERABLE PERSON ABUSE REPORT,565222,FILE A FALSE VULNERABLE PERSON ABUSE REPORT,565.222-002Y202055
F,D,20200828,99991231,STALKING - 1ST DEGREE - 2ND OR SUBSEQUENT OFFENSE,565225,STALKING - 1ST DEGREE - 2ND OR SUBSEQUENT OFFENSE,565.225-005Y202053
F,E,20200828,99991231,STALKING - 1ST DEGREE - 1ST OFFENSE,565225,STALKING - 1ST DEGREE - 1ST OFFENSE,565.225-006Y202053
F,D,20200828,99991231,STALKING - 1ST DEGREE - L/E OR RELATIVE,565225,STALKING - 1ST DEGREE - L/E OR RELATIVE,565.225-007Y202053
F,E,20200828,99991231,STALKING - 2ND DEGREE - 2ND OR SUBSEQUENT OFFENSE,565227,STALKING - 2ND DEGREE - 2ND OR SUBSEQUENT OFFENSE,565.227-001Y202053
M,A,20200828,99991231,STALKING - 2ND DEGREE - 1ST OFFENSE,565227,STALKING - 2ND DEGREE - 1ST OFFENSE,565.227-002Y202053
F,E,20200828,99991231,STALKING - 2ND DEGREE - L/E OR RELATIVE,565227,STALKING - 2ND DEGREE - L/E OR RELATIVE,565.227-003Y202053
M,C,20210828,99991231,UNLWFL POST INFO INTNT-LEO/JUD,565240,UNLAWFUL POSTING OF CERTAIN INFORMATION OVER THE INTERNET,565.240-001Y202157
F,E,20210828,99991231,UNLWFL POST INFO INTNT-LEO/JUD,565240,UNLAWFUL POSTING OF CERTAIN INFORMATION OVER THE INTERNET RE: LAW ENFORCEMENT/CO/PO/JUDICIARY,565.240-002Y202157
F,D,20230828,99991231,POST INFO RE:LEO/JUD-HARM/DTH,565240,UNLAWFUL POSTING OF CERTAIN INFORMATION OVER THE INTERNET RE:LEO/CO/PO/JUDICIARY - RESULTING IN BODILY HARM OR DEATH,565.240-003Y202357
F,E,20200828,99991231,INVASION OF PRIVACY  - VICTIM LESS THAN 18 YEARS OF AGE,565252,INVASION OF PRIVACY  - VICTIM LESS THAN 18 YEARS OF AGE,565.252-002Y202057
M,A,20200828,99991231,INVASION OF PRIVACY - VICTIM LESS THAN 18 YEARS OF AGE,565252,INVASION OF PRIVACY - VICTIM LESS THAN 18 YEARS OF AGE,565.252-003Y202057
F,E,20200828,99991231,INVASION OF PRIVACY,565252,INVASION OF PRIVACY,565.252-004Y202057
M,A,20200828,99991231,INVASION OF PRIVACY,565252,INVASION OF PRIVACY,565.252-005Y202057
F,U,20200828,99991231,RAPE OR ATTEMPTED RAPE - 1ST DEGREE,566030,RAPE OR ATTEMPTED RAPE - 1ST DEGREE,566.030-001Y202011
F,U,20200828,99991231,RAPE OR ATTEMPTED RAPE - 1ST DEGREE - AGGRAVATED SEXUAL OFFENSE,566030,RAPE OR ATTEMPTED RAPE - 1ST DEGREE - AGGRAVATED SEXUAL OFFENSE,566.030-002Y202011
F,U,20200828,99991231,RAPE OR ATTEMPTED RAPE - 1ST DEGREE - VICTIM LESS THAN 12 YEARS OF AGE,566030,RAPE OR ATTEMPTED RAPE - 1ST DEGREE - VICTIM IS LESS THAN 12 YEARS OF AGE,566.030-003Y202011
F,U,20200828,99991231,RAPE OR ATTEMPTED RAPE - 1ST DEGREE - WANTONLY VILE,566030,RAPE OR ATTEMPTED RAPE - 1ST DEGREE - WANTONLY VILE,566.030-004Y202011
F,D,20200828,99991231,RAPE - 2ND DEGREE,566031,RAPE - 2ND DEGREE,566.031-001Y202011
F,U,20200828,99991231,STATUTORY RAPE OR ATTEMPTED STATUTORY RAPE - 1ST DEGREE - PERSON LESS THAN 14,566032,STATUTORY RAPE OR ATTEMPTED STATUTORY RAPE - 1ST DEGREE - PERSON LESS THAN 14 YOA,566.032-001Y202011
F,U,20200828,99991231,STATUTORY RAPE/ATTEMPT STAT RAPE - 1ST DEG - <14 YOA - AGGRAVATED SEX OFFENSE,566032,STATUTORY RAPE OR ATTEMPTED STATUTORY RAPE - 1ST DEGREE - PERSON LESS THAN 14 YOA - AGGRAVATED SEXUAL OFFENSE,566.032-002Y202011
F,U,20200828,99991231,STATUTORY RAPE OR ATTEMPTED STATUTORY RAPE - 1ST DEGREE - PERSON LESS THAN 12,566032,STATUTORY RAPE OR ATTEMPTED STATUTORY RAPE - 1ST DEGREE - PERSON LESS THAN 12 YOA,566.032-003Y202011
F,D,20200828,99991231,STATUTORY RAPE - 2ND DEGREE,566034,STATUTORY RAPE - 2ND DEGREE,566.034-001Y202011
F,U,20200828,99991231,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE,566060,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE,566.060-001Y202011
F,U,20200828,99991231,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE - AGGRAVATED SEXUAL OFFENSE,566060,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE - AGGRAVATED SEXUAL OFFENSE,566.060-002Y202011
F,U,20200828,99991231,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE - VICTIM LESS THAN 12 YEARS OLD,566060,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE - VICTIM IS LESS THAN 12 YEARS OLD,566.060-003Y202011
F,U,20200828,99991231,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE - WANTONLY VILE,566060,SODOMY OR ATTEMPTED SODOMY - 1ST DEGREE - WANTONLY VILE,566.060-004Y202011
F,D,20200828,99991231,SODOMY - 2ND DEGREE,566061,SODOMY - 2ND DEGREE,566.061-001Y202011
F,U,20200828,99991231,STATUTORY SODOMY/ATTEMPTED STAT SODOMY - DEVIATE SEXUAL INTERCOURSE <14 YOA,566062,STATUTORY SODOMY OR ATTEMPTED STATUTORY SODOMY - DEVIATE SEXUAL INTERCOURSE - PERSON LESS THAN 14 YOA,566.062-001Y202011
F,U,20200828,99991231,STAT SODOMY/ATTEMPT STAT SODOMY - DEVIATE SEX INTERCOURSE - < 14 - AGGRAVATED,566062,STATUTORY SODOMY OR ATTEMPTED STATUTORY SODOMY - DEVIATE SEXUAL INTERCOURSE - PERSON LESS THAN 14 YOA - AGGRAVATED SEXUAL OFFENSE,566.062-002Y202011
F,U,20200828,99991231,STATUTORY SODOMY/ATTEMPT STATUTORY SODOMY - DEVIATE SEXUAL INTERCOURSE - <12,566062,STATUTORY SODOMY OR ATTEMPTED STATUTORY SODOMY - DEVIATE SEXUAL INTERCOURSE - PERSON LESS THAN 12 YOA,566.062-003Y202011
F,D,20200828,99991231,STATUTORY SODOMY - 2ND DEGREE,566064,STATUTORY SODOMY - 2ND DEGREE,566.064-001Y202011
F,A,20200828,99991231,CHILD MOLESTATION - 1ST DEGREE,566067,CHILD MOLESTATION - 1ST DEGREE,566.067-001Y202036
F,B,20200828,99991231,CHILD MOLESTATION - 2ND DEGREE -CHILD LESS THAN 12 YOA,566068,CHILD MOLESTATION - 2ND DEGREE -CHILD LESS THAN 12 YOA,566.068-001Y202036
F,B,20200828,99991231,CHILD MOLEST - 2ND DEG - AGGR SEX OFFENSE - CHILD < 17 - OFFENDER > 4 YRS OLDER,566068,CHILD MOLESTATION - 2ND DEGREE - AGGRAVATED SEXUAL OFFENSE - CHILD LESS THAN 17 YOA AND OFFENDER GREATER THAN 4 YEARS OLDER,566.068-002Y202036
F,B,20200828,99991231,CHILD MOLESTATION - 3RD DEGREE - CHILD LESS THAN 14 YOA - FORCIBLE COMPULSION,566069,CHILD MOLESTATION - 3RD DEGREE - CHILD LESS THAN 14 YOA - FORCIBLE COMPULSION,566.069-001Y202036
F,C,20200828,99991231,CHILD MOLESTATION - 3RD DEGREE - CHILD LESS THAN 14 YOA,566069,CHILD MOLESTATION - 3RD DEGREE - CHILD LESS THAN 14 YOA,566.069-002Y202036
F,E,20200828,99991231,CHILD MOLEST - 4TH DEGREE - CHILD < 17 YOA AND OFFENDER > 4 YRS OLDER,566071,CHILD MOLESTATION - 4TH DEGREE - CHILD LESS THAN 17 YOA AND OFFENDER GREATER THAN 4 YEARS OLDER,566.071-001Y202036
F,D,20200828,99991231,SEXUAL MISCONDUCT INVOLVING A CHILD UNDER 15 - 2ND/SUB OFNS,566083,SEXUAL MISCONDUCT INVOLVING A CHILD UNDER 15 - 2ND/SUBSEQUENT OFFENSE,566.083-001Y202036
F,E,20200828,99991231,SEXUAL MISCONDUCT INVOLVING A CHILD UNDER 15 - 1ST OFNS,566083,SEXUAL MISCONDUCT INVOLVING A CHILD UNDER 15 - 1ST OFFENSE,566.083-002Y202036
F,E,20200828,99991231,SEXUAL CONTACT W/ STUDENT,566086,SEXUAL CONTACT W/ STUDENT,566.086-001Y202036
M,A,20200828,99991231,SEXUL MSCNDCT-1 DG-2D/SUBSQ OF,566093,SEXUAL MISCONDUCT - 1ST DEGREE - 2ND OR SUBSEQUENT OFFENSE,566.093-001Y202011
M,B,20200828,99991231,SEXUAL MISCONDUCT - 1ST DEGREE - 1ST OFFENSE,566093,SEXUAL MISCONDUCT - 1ST DEGREE - 1ST OFFENSE,566.093-002Y202011
M,C,20200828,99991231,SEXUAL MISCONDUCT - 2ND DEGREE,566095,SEXUAL MISCONDUCT - 2ND DEGREE,566.095-001Y202011
F,B,20200828,99991231,SEXUAL ABUSE - 1ST DEGREE - VICTIM IS LESS THAN 14 YEARS OF AGE,566100,SEXUAL ABUSE - 1ST DEGREE - VICTIM IS LESS THAN 14 YEARS OF AGE,566.100-001Y202011
F,B,20200828,99991231,SEXUAL ABUSE -1ST DEG - AGGRAVATED SEXUAL OFFENSE,566100,SEXUAL ABUSE -1ST DEGREE - AGGRAVATED SEXUAL OFFENSE,566.100-002Y202011
F,C,20200828,99991231,SEXUAL ABUSE - 1ST DEGREE,566100,SEXUAL ABUSE - 1ST DEGREE,566.100-003Y202011
F,E,20200828,99991231,SEXUAL ABUSE -2ND DEG - AGGRAVATED SEXUAL OFFENSE,566101,SEXUAL ABUSE -2ND DEGREE - AGGRAVATED SEXUAL OFFENSE,566.101-001Y202011
M,A,20200828,99991231,SEXUAL ABUSE - 2ND DEGREE,566101,SEXUAL ABUSE - 2ND DEGREE,566.101-003Y202011
F,U,20200828,99991231,PROMOTING ONLINE SEXUAL SOLICITATION,566103,PROMOTING ONLINE SEXUAL SOLICITATION,566.103-001Y202036
F,E,20200828,99991231,SEX WITH AN ANIMAL - PREVIOUS CONVICTION UNDER SECTION 566.111,566111,SEX WITH AN ANIMAL - PREVIOUS CONVICTION UNDER SECTION 566.111,566.111-001Y202036
M,A,20200828,99991231,SEX WITH AN ANIMAL,566111,SEX WITH AN ANIMAL,566.111-002Y202036
F,E,20200828,99991231,SEX CONDUCT WITH NURSING FACILTY RESIDENT/VULNERABLE PERSON - 1ST DEG-2ND/SUBS,566115,SEXUAL CONDUCT WITH A NURSING FACILITY RESIDENT OR VULNERABLE PERSON - 1ST DEG - 2ND OR SUBSEQUENT,566.115-001Y202011
M,A,20200828,99991231,SEXUAL CONDUCT WITH A NURSING FACILITY RESIDENT OR VULNERABLE PERSON - 1ST DEG,566115,SEXUAL CONDUCT WITH A NURSING FACILITY RESIDENT OR VULNERABLE PERSON - 1ST DEG,566.115-002Y202011
M,A,20200828,99991231,SEX CONDUCT WITH NURSING FACILTY RESIDENT/VULNERABLE PERSON - 2ND DEG - 2ND/SUBS,566116,SEXUAL CONDUCT WITH A NURSING FACILITY RESIDENT OR VULNERABLE PERSON - 2ND DEGREE - 2ND OR SUBSEQUENT,566.116-001Y202011
M,B,20200828,99991231,SEXUAL CONDUCT WITH A NURSING FACILITY RESIDENT OR VULNERABLE PERSON - 2ND DEG,566116,SEXUAL CONDUCT WITH A NURSING FACILITY RESIDENT OR VULNERABLE PERSON - 2ND DEG,566.116-002Y202011
F,E,20200828,99991231,SEX CNDT COURSE OF PUBLIC DUTY,566145,SEXUAL CONDUCT IN THE COURSE OF PUBLIC DUTY,566.145-001Y202036
F,B,20200828,99991231,PR OFNDR-RESIDE-1000FT-SCHL-2ND,566147,PRIOR OFFENDER RESIDE WITHIN 1000 FEET OF A SCHOOL OR CHILDCARE FACILITY AFTER CONVICTION OF OR PLEA TO A SPECIFIED OFFENSE - 2ND OR SUBSEQUENT OFFENSE,566.147-001Y202036
